name,film,boxoffice
Antoine Fuqua,8.0,780013120.0
Robert Luketic,6.0,686786764.0
Gil Kenan,2.0,158044054.0
Barry Levinson,13.0,1109252234.0
Jerry Zucker,4.0,801552508.0
Andy Tennant,6.0,861734390.0
Florent-Emilio Siri,1.0,77944725.0
Gary Goldman,2.0,176558982.0
Don Bluth,3.0,261019828.0
Ron Shelton,4.0,122668863.0
Àlex Pastor,1.0,5802422.0
David Pastor,1.0,5802422.0
Henry Selick,2.0,130005915.0
Kyle Balda,1.0,1156730962.0
Fergal Reilly,1.0,349779543.0
Clay Kaytis,1.0,349779543.0
Judd Apatow,5.0,618839316.0
Steve Carr,5.0,616097658.0
Mel Gibson,3.0,942074710.0
David Silverman,1.0,527068851.0
Frank Darabont,4.0,407355217.0
Betty Thomas,4.0,808812717.0
Joe Ranft,1.0,461983149.0
Garry Marshall,8.0,1441191001.0
Paul Tibbitt,1.0,311594032.0
Clark Johnson,2.0,194563692.0
Cameron Crowe,6.0,722691372.0
Randall Wallace,4.0,459214019.0
Jonathan Frakes,4.0,335076920.0
George Clooney,5.0,359890393.0
Gary Shore,1.0,215529201.0
Andrzej Bartkowiak,5.0,296236439.0
Måns Mårlind,1.0,160112671.0
Björn Stein,1.0,160112671.0
Gregory Hoblit,3.0,132876699.0
Gary McKendry,1.0,57777106.0
Wych Kaosayananda,1.0,19924033.0
Mikael Salomon,2.0,19870568.0
Bobby Farrelly,11.0,1338217899.0
Peter Farrelly,12.0,1370656887.0
Dan St. Pierre,1.0,18662027.0
Kerry Conran,1.0,57958696.0
Michael Caton-Jones,4.0,251990584.0
Mikael Håfström,4.0,371121418.0
Phil Alden Robinson,1.0,193000000.0
David Slade,3.0,781019529.0
Joseph Ruben,1.0,35431113.0
Seth MacFarlane,3.0,852798986.0
Alejandro Amenábar,4.0,305194864.0
Kinka Usher,1.0,29762011.0
Craig Gillespie,4.0,126622617.0
Rob Bowman,4.0,291792124.0
Doug Lefler,1.0,25303038.0
Scott Waugh,2.0,284550402.0
Lawrence Kasdan,5.0,100767439.0
Michael Lembeck,2.0,184196081.0
Tom Hooper,3.0,856021320.0
Nora Ephron,3.0,380361995.0
Angelina Jolie,3.0,167474560.0
Clint Eastwood,20.0,2512058888.0
Larry Charles,5.0,579758110.0
Stanley Kubrick,6.0,313498854.0
Will Gluck,3.0,359257886.0
Glenn Ficarra,3.0,307466195.0
John Requa,3.0,307466195.0
David S. Goyer,2.0,205419416.0
Taylor Hackford,6.0,323892838.0
Michael Lehmann,3.0,181849853.0
Stuart Beattie,1.0,71154592.0
Roman Polanski,6.0,341788974.0
Robert Rodriguez,17.0,1114199581.0
Frank Miller,3.0,237172773.0
Baltasar Kormákur,3.0,398467995.0
Daniel Lee,2.0,121545704.0
Keenen Ivory Wayans,4.0,385294692.0
Rob Reiner,11.0,803797478.0
Marco Schnabel,1.0,41819064.0
Demian Lichtenstein,1.0,18720175.0
Josh Gordon,2.0,49976315.0
Will Speck,2.0,49976315.0
Tim Hill,5.0,720605977.0
David Frankel,4.0,692362906.0
Marc Lawrence,3.0,324531590.0
Peter Billingsley,1.0,171844840.0
Wes Ball,2.0,659576787.0
Ryan Murphy,2.0,211348914.0
Robert Redford,5.0,305037663.0
Jay Russell,3.0,74541709.0
Kenny Ortega,5.0,299685074.0
David McNally,2.0,114005403.0
Brian Robbins,6.0,186402412.0
Brian Levant,6.0,789122168.0
Steven Zaillian,2.0,66153798.0
Chris Butler,1.0,107139399.0
Jon Avnet,3.0,90206138.0
Robert Stevenhagen,1.0,50877145.0
Kevin Donovan,1.0,104391.0
Geoff Murphy,1.0,104324083.0
David O. Russell,8.0,774364029.0
Babak Najafi,1.0,205754447.0
Jean-Pierre Jeunet,5.0,359416744.0
Graham Annable,1.0,108255770.0
Griffin Dunne,3.0,79122366.0
John Pasquin,3.0,291226927.0
Ruben Fleischer,3.0,248139725.0
Harold Ramis,8.0,590882770.0
Kevin Macdonald,3.0,149697966.0
Donald Petrie,8.0,498836725.0
Jorge Blanco,1.0,104945765.0
